Feature,Importance
network_total,0.57569784
network_out,0.26700455
rolling_std_12,0.017713942
rolling_max_12,0.016213275
network_in,0.0150994295
queue_length,0.012145897
disk_io,0.0071339738
hour,0.0069390293
traffic_momentum,0.0067641954
rolling_min_12,0.0056343814
day,0.005472575
month,0.0052848514
server_instances,0.004706976
cpu_usage,0.004414919
active_users,0.004215022
rolling_mean_6,0.004020531
request_lag_1,0.0039700675
rolling_std_6,0.0038934394
request_velocity,0.0034456395
rolling_mean_12,0.0029766592
request_lag_24,0.0027726283
request_lag_12,0.0023525823
error_rate,0.0022735875
cache_hit_rate,0.0022437838
resource_pressure,0.0017751617
quarter,0.0016969675
availability_zone,0.001685493
day_of_week,0.0016342998
application_type,0.0015575233
region,0.001542454
request_lag_6,0.0013636148
traffic_growth_rate,0.0013134554
request_lag_3,0.0012242951
response_time,0.0011759632
memory_usage,0.0010646599
week,0.0007504424
cpu_memory_ratio,0.0007365593
is_weekend,8.933549e-05
